geoid10,downMean,upMean,downStdDev,upStdDev,tests,income,lon,lat
060379102061035,5.843364386,0.8722540223666666,2.313126841666667,0.4095842686333333,8,101683,34.5958535,-118.2301286
060379104021012,8.3529011255375,3.8661479727874997,3.7423391592249997,1.2777757073,8,36864,34.5801744,-118.128589
060379104042000,11.847483092749998,5.9374509510874995,6.0108048205125,1.8379522843124998,8,38092,34.559776,-118.1190765
060379107131000,7.0203954361,4.6487367732625,2.0023093197125,1.730506934675,8,52902,34.5778114,-118.0358041
060379108041201,24.9967277167375,8.548893064025,9.078773516387498,2.366703687525,8,91905,34.4928011,-118.1318152
060379108051118,24.20657250725,7.894146189025,7.104813792499999,1.6672050250500001,8,77644,34.4802328,-118.2350997
060379108101027,3.1308664781625,0.5607968216000001,1.5999659852125,0.3637419261125,8,108421,34.4341161,-118.3716724
060379108111025,0.052377762865,0.11125025499499999,0.06738306516499999,0.33409339829999996,8,103750,34.4083832,-118.1235974
060379108131000,21.986889653874996,7.568882812499999,10.144928350125,2.0701337002624998,8,87557,34.5134622,-118.2492198
060379108132050,0.28157412442333335,0.2987591688666667,0.23312600649666668,0.3162994869333333,8,77070,34.530995,-118.2878724
060379108132153,12.4723927534375,2.4724740006962502,6.375091977237499,0.7149408675500001,16,77070,34.4883604,-118.3823044
060379110011057,15.567021816124997,9.264356249999999,4.81841041625,2.6227922478,8,39583,34.519497,-117.98052
060379110012103,15.658025483,9.10726875,4.879029787150001,2.2853842734125003,8,44896,34.5077655,-117.7100902
060379110012224,6.1238342496,6.701175000000001,1.9068457109999997,1.5367465817800001,8,44896,34.4722073,-117.7712878
060379110012376,11.128774584124999,5.1691550482499995,3.6586165992499997,1.64138150645,8,44896,34.4507083,-117.6607992
060379200302001,9.731837715687501,7.5039390625000015,4.9381686547375,2.2158140529,8,89495,34.4208781,-118.488478
060379200371013,7.20056410095,6.0423416725875,2.9441298775375,1.9751182012250001,8,49900,34.4158959,-118.4553169
060379200431088,8.800596415495,3.854712152775,4.53213281933875,1.0109249514375,8,121712,34.3905648,-118.4532501
060379201022059,1.0804254843333334,0.18716709008666665,0.8361432175666668,0.3310047141666666,8,23125,34.6423859,-118.391366
060379201023101,1.003331883625,0.1787722655975,1.0769827175,0.321718523275,8,71627,34.5840852,-118.6754698
